DATE,AMXL,CEMEXCPO,GFNORTEO,GMEXICOB,MEXCHEM,TLEVISACPO
2015-01-02,14.946827,13.0505,73.114052,39.566196,39.952633,98.90789
2015-01-05,14.780751,12.7393,71.045761,38.018436,37.750702,97.215553
2015-01-06,14.706939,12.9171,70.359413,38.16853,38.198566,96.601959
2015-01-07,14.873015,13.2105,71.880516,39.012749,40.101929,96.522789
2015-01-08,15.159035,13.3794,72.96566,39.547432,40.269852,97.314529
2015-01-09,15.343564,13.335,72.344246,39.706898,41.118912,97.166077
2015-01-12,15.22362,13.1305,70.090439,38.675064,40.73637,94.226746
2015-01-13,15.131353,12.926,69.728729,37.896492,39.159515,94.949203
2015-01-14,15.168261,12.4371,68.652832,36.114235,39.196911,92.900589
2015-01-15,15.334338,12.3748,69.348434,36.564495,39.868664,93.009445
2015-01-16,15.306657,12.1792,72.232941,37.558811,40.652405,92.99955
2015-01-19,15.315883,12.1792,71.92688,36.977222,40.661777,92.890686
2015-01-20,15.601902,12.3482,72.603951,37.239872,40.950977,93.722015
2015-01-21,15.795657,12.3304,74.050835,38.74073,40.9417,96.314957
2015-01-22,15.980187,12.6949,73.234627,39.2285,42.350525,98.987068
2015-01-23,15.915599,12.4282,74.681526,37.877735,41.650749,97.670815
2015-01-26,15.528091,12.4637,74.171394,38.872051,41.995995,98.640686
2015-01-27,15.352788,12.5171,75.030556,38.524979,41.520115,98.254707
2015-01-28,15.103677,12.2859,74.081619,38.046589,40.773762,97.166077
2015-01-29,15.029865,12.3659,73.318764,37.718273,40.279228,97.591629
2015-01-30,14.789977,11.8325,70.769676,37.136692,38.77697,96.552475
2015-02-03,14.789977,12.197,73.728104,38.468693,39.896683,97.61142
2015-02-04,14.789977,11.6103,73.579247,40.907578,39.00095,98.957382
2015-02-05,14.900694,13.1305,73.504845,41.836231,40.876385,98.739647
2015-02-06,14.928372,13.0682,74.035095,42.352146,41.184227,97.007721
2015-02-09,14.928372,13.2549,73.439705,42.38966,40.325901,97.522354
2015-02-10,14.909921,12.9527,72.602417,41.723667,39.140869,99.828293
2015-02-11,14.347109,12.8104,71.141792,41.376595,39.32745,98.700066
2015-02-12,14.937602,13.1927,73.690895,42.145779,40.801693,103.628639
2015-02-13,15.103677,13.0505,74.416542,42.674129,40.083267,102.500412
2015-02-16,15.057544,13.0238,74.584,42.362789,40.073891,103.381226
2015-02-17,15.039088,13.2816,75.877144,42.872269,39.859386,103.499977
2015-02-18,15.085222,13.0594,73.700195,43.145882,39.570087,98.739647
2015-02-19,15.094449,13.1483,74.602608,43.457237,39.887306,98.036987
2015-02-20,15.075995,13.3083,75.123604,44.18372,39.905964,98.55162
2015-02-23,14.75307,13.4416,74.723549,44.429028,39.523415,101.10498
2015-02-24,14.743845,13.6817,75.049156,43.740292,41.253063,99.927269
2015-02-25,14.762299,13.5127,75.011948,42.711884,41.964268,99.264175
2015-02-26,14.956051,13.6994,75.10498,43.419495,40.532467,100.897133
2015-02-27,14.762299,13.4683,75.532936,42.664707,40.785137,100.560654
2015-03-02,14.586995,13.5038,74.546768,42.702446,39.53109,101.431557
2015-03-03,14.476277,13.2994,74.509575,42.16465,39.00695,102.906181
2015-03-04,14.411693,13.1216,74.928223,42.315609,38.033676,102.510307
2015-03-05,14.227165,13.2727,77.021446,42.155216,39.147385,104.370888
2015-03-06,14.236389,12.7838,77.198212,41.419296,39.343842,105.825714
2015-03-09,14.264071,12.8015,77.040054,41.485332,38.847908,104.816238
2015-03-10,14.125673,12.7038,77.719193,40.730549,38.108505,104.915207
2015-03-11,14.024182,12.8193,78.816963,41.287205,38.417385,105.459526
2015-03-12,14.070315,13.2816,79.998482,42.560913,39.325138,105.410042
2015-03-13,14.097994,13.2994,80.761353,42.551479,39.212898,105.123039
2015-03-17,14.024182,13.1394,81.859131,42.202385,38.426689,104.271919
2015-03-18,14.836108,12.9705,83.338341,42.777916,39.109875,101.708664
2015-03-19,14.513184,12.7038,83.170876,43.202496,38.623249,102.916069
2015-03-20,14.503958,12.7038,81.059052,43.334583,38.76368,102.520195
2015-03-23,14.52241,12.8371,80.565971,43.476112,39.250309,102.896278
2015-03-24,14.559315,13.0238,80.92881,43.466671,38.847908,102.144127
2015-03-25,14.430146,12.9438,79.644966,43.325138,38.482899,99.60067
2015-03-26,14.365561,12.7304,79.12397,42.730747,38.192722,98.947487
2015-03-27,14.411693,12.7927,81.840515,41.938213,37.921352,99.531387
2015-03-30,14.577768,12.8993,81.840515,42.579792,37.874538,101.223724
2015-03-31,14.448599,12.8638,82.352196,42.504311,37.284973,99.759018
2015-04-01,14.965279,12.7393,83.356949,42.117474,37.079117,102.698334
2015-04-06,15.029865,13.3616,84.082596,42.579792,38.595139,103.7276
2015-04-07,14.771524,13.4327,85.636246,42.881706,39.409363,103.519775
2015-04-08,14.586995,13.1572,85.050125,42.796795,39.147385,104.281815
2015-04-09,14.734618,13.2105,84.026779,42.513748,38.80109,105.657471
2015-04-10,14.946827,13.2283,81.626541,42.16465,38.932121,106.528374
